name,display_order,description,event_type,id,created_date,updated_date,created_by_id,created_by,is_sample
"אפטר פארטי","0","","wedding","69a57a1796be41a017261a45","2026-03-02T11:52:55.199000","2026-03-02T11:52:55.199000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"אפטר פארטי","0","","serving","69a57a03e715d5240425fce4","2026-03-02T11:52:35.210000","2026-03-02T11:52:35.210000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"תת מנה","0","","serving","694ab43b7f41f262f932394d","2025-12-23T15:24:43.611000","2025-12-23T15:24:43.611000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"מנות ראשונות","2","","wedding","691ef050418ec1421660f468","2025-11-20T10:41:20.876000","2026-02-17T13:40:39.996000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"עיקריות","3","","wedding","691ef050418ec1421660f469","2025-11-20T10:41:20.876000","2026-02-17T13:41:01.045000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"קינוחים","4","","wedding","691ef050418ec1421660f46a","2025-11-20T10:41:20.876000","2026-02-17T13:40:38.481000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"קבלת פנים","1","","wedding","691ef050418ec1421660f467","2025-11-20T10:41:20.875000","2026-02-17T13:40:41.847000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"קבלת פנים","1","","serving","6914a3cdd7f1f518fe42db8a","2025-11-12T15:12:13.947000","2026-02-17T13:40:56.191000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"מנות ראשונות","2","","serving","6914a39a9240d3d7b28c638c","2025-11-12T15:11:22.138000","2026-02-17T13:40:58.153000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"קינוחים","4","Desserts and sweets","serving","6910c2e122b0e770b15ec64a","2025-11-09T16:35:45.311000","2026-02-17T13:40:59.466000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"מנות עיקריות","3","","serving","6910c2e122b0e770b15ec648","2025-11-09T16:35:45.311000","2026-02-17T13:40:45.099000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
