role_name,is_active,department_id,department_name,manages_department_id,manages_department_name,procedures,description,is_manager,id,created_date,updated_date,created_by_id,created_by,is_sample
"טבח","true","6980a31fad76459583167535","פטי וור","","","ןיןין","","false","69bab21329ff5f723f11e4b3","2026-03-18T14:09:23.933000","2026-04-04T15:01:14.930000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"מנהל פלור","true","6980a31fad76459583167535","פטי וור","","","","","false","69bab20fcb6cf169a030a343","2026-03-18T14:09:19.587000","2026-03-18T14:09:19.587000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"קונדיטורית","true","6980a31fad76459583167535","פטי וור","","","","","false","69bab1fb9f7ad761b1f0adfc","2026-03-18T14:08:59.343000","2026-03-18T14:08:59.343000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"מנהל מטבח","true","6980a31fad76459583167535","פטי וור","","","","","false","69bab1f4082ef6b6a1a5c3ca","2026-03-18T14:08:52.134000","2026-03-18T14:08:52.134000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"מנכ""ל","true","69a7fc1812ac958248e61218","אירועים","","","","","false","69a808e5f17931b9c4ad963f","2026-03-04T10:26:45.565000","2026-03-04T10:26:45.565000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"מנהל אחזקה","true","69a7fc1e265b796657386036","שוטפות","","","","","false","69a6c0069216d0f243570cab","2026-03-03T11:03:34.263000","2026-03-04T10:22:04.545000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"איש מכירות 2","true","69a7fc1e265b796657386036","שוטפות","","","","","false","69a6bfd6b9bb0b7dac8bcb72","2026-03-03T11:02:46.048000","2026-03-04T10:22:09.691000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"איש מכירות 1","true","69a7fc1e265b796657386036","שוטפות","","","","","false","69a6bfd0c186dfb4f00181e6","2026-03-03T11:02:40.996000","2026-03-04T10:22:24.801000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"מנהל הפקה","true","69a7fc1812ac958248e61218","אירועים","","","","","false","69a6bfc6c52495472ab7b749","2026-03-03T11:02:30.616000","2026-03-04T10:22:18.174000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"שף","true","69a7fc1e265b796657386036","שוטפות","","","","","false","69a6bf86dddedf7f6c6d614e","2026-03-03T11:01:26.031000","2026-03-04T10:26:00.985000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"תאורן","true","69a7fc1812ac958248e61218","אירועים","","","","","false","69a6bf81a1cdb5e1afe66080","2026-03-03T11:01:21.262000","2026-03-04T10:22:45.130000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"מלצרית משפחה","true","69a7fc1812ac958248e61218","אירועים","","","","","false","69a6bf75995b99473d2b1d8d","2026-03-03T11:01:09.512000","2026-03-04T10:22:51.634000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"מאבטח","true","69a7fc1812ac958248e61218","אירועים","","","","","false","69a6bf640cea64eff075c1c8","2026-03-03T11:00:52.185000","2026-03-04T10:23:06.273000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"מנהל בר","true","69a7fc1812ac958248e61218","אירועים","","","","","false","69a6bf5fc6775a07df0477e8","2026-03-03T11:00:47.836000","2026-03-04T10:23:02.408000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"סומלייה","true","69a7fc1812ac958248e61218","אירועים","","","","","false","69a6bf55c52495472ab7b704","2026-03-03T11:00:37.057000","2026-03-04T10:22:56.168000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"מנהלת כניסה","true","69a7fc1812ac958248e61218","אירועים","","","","","false","69a6bf4e9b405e8d2377c126","2026-03-03T11:00:30.770000","2026-03-04T10:23:50.354000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"מנהל מזנונים","true","69a7fc1812ac958248e61218","אירועים","","","","","false","69a6bed161b9e8d29c3252b2","2026-03-03T10:58:25.014000","2026-03-04T10:23:29.595000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"מנהל כספים","true","69a7fc1e265b796657386036","שוטפות","","","","","false","69a6be1483121e00e169f883","2026-03-03T10:55:16.338000","2026-03-04T10:25:08.335000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"מנהל אירוע","true","69a7fc1812ac958248e61218","אירועים","","","","","false","69a5e912ef9ae5c9c27cab12","2026-03-02T19:46:26.343000","2026-03-04T10:25:10.566000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"בודק2","true","69a7fc1e265b796657386036","שוטפות","","","","","false","69a5e866bbfd147e548f6a26","2026-03-02T19:43:34.555000","2026-03-04T10:25:03.583000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"מנכ״ל","true","69a7fc1e265b796657386036","שוטפות","6962a3e94ffc3d727bcb41bc","ניהול","","","true","69a5df334c8f2691958936a9","2026-03-02T19:04:19.759000","2026-03-04T10:24:51.195000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"בודק1","true","69a7fc1e265b796657386036","שוטפות","","","","","false","699091785edc0942358a8502","2026-02-14T15:15:04.345000","2026-03-04T10:24:44.588000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"מנהל תפעול","true","69a7fc1e265b796657386036","שוטפות","","","","","false","698310e2e3f8b79c3622a623","2026-02-04T09:26:58.425000","2026-03-04T10:24:39.387000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"סגן 2","true","69a7fc1812ac958248e61218","אירועים","","","","","false","6980b083c5133410ecbb8978","2026-02-02T14:11:15.661000","2026-03-04T10:24:34.490000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"סגן 1","true","69a7fc1812ac958248e61218","אירועים","","","","","false","6980b07aeb86cfc2f6359bed","2026-02-02T14:11:06.549000","2026-03-04T10:24:12.280000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"מנהלת משרד","true","69a7fc1e265b796657386036","שוטפות","","","","","false","6980a7f8474402de2781a8fe","2026-02-02T13:34:48.350000","2026-03-04T10:24:23.069000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
