components,total_cost,system_unit,name,description,total_quantity,price_per_system_unit,id,created_date,updated_date,created_by_id,created_by,is_sample
"[{""unit"":""ק״ג"",""cost"":0.31666666666666665,""ingredient_id"":""695b9181af04b619b5f77bf7"",""ingredient_name"":""מלח בישול 1/12 קג סלית"",""qty"":0.2},{""unit"":""ליטר"",""cost"":2.9333333333333336,""ingredient_id"":""691491b3398597de1a02c29f"",""ingredient_name"":""שמן קנולה 15 ליטר"",""qty"":0.4},{""unit"":""ליטר"",""cost"":0.7016666666666667,""ingredient_id"":""694a640e60a7f5db9d9eb5dc"",""ingredient_name"":""חומץ יכין 4 ליטר קרטון 1/3"",""qty"":0.2},{""unit"":""ק״ג"",""cost"":2.99,""ingredient_id"":""693fe76977ca7494aead1af0"",""ingredient_name"":""שום קלוף מובחר "",""qty"":0.1},{""unit"":""ק״ג"",""cost"":7,""ingredient_id"":""694a6a707a61781d8606d16f"",""ingredient_name"":""בצל לבן"",""qty"":1},{""unit"":""ק״ג"",""cost"":16.8,""ingredient_id"":""694abc712abb9306ba8e7fdd"",""ingredient_name"":""מלפפון"",""qty"":4},{""unit"":""ק״ג"",""cost"":17,""ingredient_id"":""694a6a568bfa48da3d61382b"",""ingredient_name"":""פלפל אדום"",""qty"":2},{""unit"":""ק״ג"",""cost"":21,""ingredient_id"":""694a699cf49d6d1248c6efa9"",""ingredient_name"":""עגבניה"",""qty"":3}]","68.74166666666667","ליטר","רוטב גספצ'יו","","10.9","6.306574923547401","69aff39c106fa35e04028b19","2026-03-10T10:34:04.602000","2026-03-10T10:34:04.602000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"[{""unit"":""ליטר"",""cost"":0,""ingredient_id"":""694941b7cb7874a4b8a40468"",""ingredient_name"":""מים"",""qty"":0.25},{""unit"":""ק״ג"",""cost"":1.5666666666666667,""ingredient_id"":""694a6530d837958f8f9944ab"",""ingredient_name"":""דבש טהור מקומי 1.5 קג"",""qty"":0.05},{""unit"":""ק״ג"",""cost"":4.056,""ingredient_id"":""694a59861398766876ecb0aa"",""ingredient_name"":""חרדל דיג'ון חלק 5 ק\""ג רבנות K"",""qty"":0.3}]","5.6226666666666665","ק״ג","רוטב חרדל לטרטר","","0.6","9.37111111111111","69aff1e5df99183c3def8456","2026-03-10T10:26:45.855000","2026-03-10T10:26:45.855000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"[{""unit"":""ליטר"",""cost"":0.35083333333333333,""ingredient_id"":""694a640e60a7f5db9d9eb5dc"",""ingredient_name"":""חומץ יכין 4 ליטר קרטון 1/3"",""qty"":0.1},{""unit"":""ק״ג"",""cost"":1.9500000000000002,""ingredient_id"":""694aa3e9d32437b50e8fc726"",""ingredient_name"":""פפריקה מתוקה מס 4"",""qty"":0.1},{""unit"":""ק״ג"",""cost"":7.2,""ingredient_id"":""694aa46b8058780e22b1a8a6"",""ingredient_name"":""פפריקה מתוקה מעושנת "",""qty"":0.2},{""unit"":""ק״ג"",""cost"":12.75,""ingredient_id"":""694a6a568bfa48da3d61382b"",""ingredient_name"":""פלפל אדום"",""qty"":1.5},{""unit"":""ק״ג"",""cost"":0.78,""ingredient_id"":""69492825c4c1dfcb791b5754"",""ingredient_name"":""סוכר לבן 1/10 ק\""ג ייבוא בד\""ץ עד\""ח"",""qty"":0.2},{""unit"":""ק״ג"",""cost"":0.31666666666666665,""ingredient_id"":""695b9181af04b619b5f77bf7"",""ingredient_name"":""מלח בישול 1/12 קג סלית"",""qty"":0.2},{""unit"":""ק״ג"",""cost"":67.5,""ingredient_id"":""691491b3398597de1a02c2aa"",""ingredient_name"":""זית קלמטה מגולען 10 קג חת\""ס פ\""ת"",""qty"":3},{""unit"":""ק״ג"",""cost"":199.8,""ingredient_id"":""6953ce1750d397678db102ed"",""ingredient_name"":""שום קונפי"",""qty"":4},{""unit"":""יחידה"",""cost"":155,""ingredient_id"":""691491b3398597de1a02c2a0"",""ingredient_name"":""פולפה עגבניות 4.05 ק\""ג מוטי מארז 1/3"",""qty"":3}]","245.8475","ק״ג","קרם מטבל עגבניות וזיתים","","8.3","29.620180722891565","69afef433619b55efbbc7a88","2026-03-10T10:15:31.629000","2026-03-10T10:15:31.629000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"[{""unit"":""ק״ג"",""cost"":0,""ingredient_id"":""699ed4c56a47a365dd87f832"",""ingredient_name"":""פלפל צ'יפוטלה 3 קילו"",""qty"":0}]","0","ליטר","רוטב איולי צ'יפוטלה","","0","0","69a0401f4b30f006f57173b0","2026-02-26T12:44:15.311000","2026-03-02T12:45:32.147000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"[{""unit"":""ק״ג"",""cost"":0.195,""ingredient_id"":""69492825c4c1dfcb791b5754"",""ingredient_name"":""סוכר לבן 1/10 ק\""ג ייבוא בד\""ץ עד\""ח"",""qty"":0.05},{""unit"":""ק״ג"",""cost"":0.03166666666666666,""ingredient_id"":""695b9181af04b619b5f77bf7"",""ingredient_name"":""מלח בישול 1/12 קג סלית"",""qty"":0.02},{""unit"":""ליטר"",""cost"":0,""ingredient_id"":""694941b7cb7874a4b8a40468"",""ingredient_name"":""מים"",""qty"":0.1},{""unit"":""ק״ג"",""cost"":14.166666666666666,""ingredient_id"":""691ee5da2c0f622bc718a40b"",""ingredient_name"":""קרם קוקוס 1/12 ליטר קרטונים 22%"",""qty"":1},{""unit"":""ק״ג"",""cost"":4.799,""ingredient_id"":""695b8a09660fa9ac866a2aef"",""ingredient_name"":""מחית קארי ירוק 1 קג"",""qty"":0.2}]","19.192333333333334","ליטר","רוטב קארי מסמאן","","1.3699999999999999","14.009002433090027","699486721c61251c5cfc98be","2026-02-17T15:17:06.196000","2026-02-17T15:21:17.030000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"[{""unit"":"""",""cost"":0,""ingredient_id"":"""",""ingredient_name"":"""",""qty"":0.3},{""unit"":""ק״ג"",""cost"":2.392,""ingredient_id"":""693fe76977ca7494aead1af0"",""ingredient_name"":""שום קלוף מובחר "",""qty"":0.08},{""unit"":""ליטר"",""cost"":0.875,""ingredient_id"":""694a5d4f1efbca3bb938e155"",""ingredient_name"":""לימון טבעי לתיבול 2 ל' קפוא 6 יח בית יוסף"",""qty"":0.1},{""unit"":""ק״ג"",""cost"":9.970588235294118,""ingredient_id"":""694a5ebab109eb1264aa165e"",""ingredient_name"":""טחינה הר בהרכבה 17 קג בד\""ץ"",""qty"":0.5}]","13.237588235294117","ליטר","רוטב טחינה","","0.6799999999999999","19.46704152249135","6984afd0531c3fdf8eebe07e","2026-02-05T14:57:20.542000","2026-03-02T12:39:40.587000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"[{""unit"":""ק״ג"",""cost"":0,""ingredient_id"":""695b9181af04b619b5f77bf7"",""ingredient_name"":""מלח בישול 1/12 קג סלית"",""qty"":0},{""unit"":""ליטר"",""cost"":0,""ingredient_id"":""69807eec28ce824d7f3b1325"",""ingredient_name"":""רוטב צ'יפוטלה"",""qty"":0},{""unit"":""ק״ג"",""cost"":40.5,""ingredient_id"":""694ac0edb6dc0b702b66ba7e"",""ingredient_name"":""סלק אדום"",""qty"":9}]","40.5","ליטר","רוטב סלק","","9","4.5","6984af97a5b16a5dbc649b0e","2026-02-05T14:56:23.830000","2026-02-24T09:45:06.265000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"[{""unit"":""ק״ג"",""cost"":0.39,""ingredient_id"":""69492825c4c1dfcb791b5754"",""ingredient_name"":""סוכר לבן 1/10 ק\""ג ייבוא בד\""ץ עד\""ח"",""qty"":0.1},{""unit"":""ק״ג"",""cost"":0.15833333333333333,""ingredient_id"":""695b9181af04b619b5f77bf7"",""ingredient_name"":""מלח בישול 1/12 קג סלית"",""qty"":0.1},{""unit"":""ק״ג"",""cost"":9.16,""ingredient_id"":""694ac82814e29f88bc5329d1"",""ingredient_name"":""פלפל שחור גרוס טעם וריח"",""qty"":0.1},{""unit"":""ליטר"",""cost"":52.5,""ingredient_id"":""694a8b04c5b840f6b16c5f71"",""ingredient_name"":""ויולייף בסיס צמחי לבישול והקצפה 500 מל"",""qty"":3},{""unit"":""ק״ג"",""cost"":44.4,""ingredient_id"":""694aa626058a7e2594f1a8da"",""ingredient_name"":""זעפרן"",""qty"":0.003}]","106.60833333333333","ליטר","רוטב זעפרן","","3.303","32.276213543243514","69848d542861670edf2d5952","2026-02-05T12:30:12.497000","2026-02-05T12:30:12.497000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"[{""unit"":""ליטר"",""cost"":1.0525,""ingredient_id"":""694a640e60a7f5db9d9eb5dc"",""ingredient_name"":""חומץ יכין 4 ליטר קרטון 1/3"",""qty"":0.3},{""unit"":""ק״ג"",""cost"":3.2447999999999997,""ingredient_id"":""694a59861398766876ecb0aa"",""ingredient_name"":""חרדל דיג'ון חלק 5 ק\""ג רבנות K"",""qty"":0.24},{""unit"":""ק״ג"",""cost"":4.186,""ingredient_id"":""693fe76977ca7494aead1af0"",""ingredient_name"":""שום קלוף מובחר "",""qty"":0.14},{""unit"":""ק״ג"",""cost"":10.356104651162791,""ingredient_id"":""69494e18b75003a84142069d"",""ingredient_name"":""מיונז הלמנס 3.44 קג (4 יח בארגז)"",""qty"":2},{""unit"":""ק״ג"",""cost"":18.799999999999997,""ingredient_id"":""694a6530d837958f8f9944ab"",""ingredient_name"":""דבש טהור מקומי 1.5 קג"",""qty"":0.6},{""unit"":""יחידה"",""cost"":35.400000000000006,""ingredient_id"":""694a6502140dfb1db043c2f1"",""ingredient_name"":""אנשובי פחית קטנה "",""qty"":6},{""unit"":""ק״ג"",""cost"":91.42857142857143,""ingredient_id"":""694a5c52a803b4583ca018b0"",""ingredient_name"":""צלפים בצנצנת 350 גרם חת\""ס פ\""ת"",""qty"":4}]","164.46797607973423","ליטר","רוטב קיסר","","13.280000000000001","12.384636752992034","698482812f4e53c8399a08df","2026-02-05T11:44:01.332000","2026-02-05T11:44:01.332000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"[{""unit"":""ק״ג"",""cost"":0,""ingredient_id"":""69492825c4c1dfcb791b5754"",""ingredient_name"":""סוכר לבן 1/10 ק\""ג ייבוא בד\""ץ עד\""ח"",""qty"":0},{""unit"":""ליטר"",""cost"":0,""ingredient_id"":""694a8b04c5b840f6b16c5f71"",""ingredient_name"":""ויולייף בסיס צמחי לבישול והקצפה 500 מל"",""qty"":0}]","0","ליטר","רוטב זעפרן","","0","0","69848048cc680718b6aaa4b7","2026-02-05T11:34:32.954000","2026-02-05T11:34:32.954000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
