name,display_order,category_name,event_type,category_id,id,created_date,updated_date,created_by_id,created_by,is_sample
"דגים","1","עיקריות","wedding","691ef050418ec1421660f469","6994700322abeba1a53bf846","2026-02-17T13:41:23.794000","2026-02-17T13:41:23.794000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"עוף","3","עיקריות","wedding","691ef050418ec1421660f469","6994700322abeba1a53bf848","2026-02-17T13:41:23.794000","2026-02-17T13:41:23.794000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"עיקרי טבעוני/צמחוני","4","עיקריות","wedding","691ef050418ec1421660f469","6994700322abeba1a53bf849","2026-02-17T13:41:23.794000","2026-02-17T13:41:23.794000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"בשר","2","עיקריות","wedding","691ef050418ec1421660f469","6994700322abeba1a53bf847","2026-02-17T13:41:23.794000","2026-02-17T13:41:23.794000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"טאבון","4","קבלת פנים","serving","6914a3cdd7f1f518fe42db8a","6994700322abeba1a53bf833","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"דגים","1","מנות עיקריות","serving","6910c2e122b0e770b15ec648","6994700322abeba1a53bf839","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"פלאנצ׳ה","3","קבלת פנים","serving","6914a3cdd7f1f518fe42db8a","6994700322abeba1a53bf832","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"אנטיפסטי","1","מנות ראשונות","serving","6914a39a9240d3d7b28c638c","6994700322abeba1a53bf835","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"עיקרי טבעוני/צמחוני","4","מנות עיקריות","serving","6910c2e122b0e770b15ec648","6994700322abeba1a53bf83c","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"אפרטיף","2","מנות ראשונות","wedding","691ef050418ec1421660f468","6994700322abeba1a53bf843","2026-02-17T13:41:23.793000","2026-02-17T13:41:23.793000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
