notes,contact_person,supplier_category_id,pdf_files,supplier_type,payment_terms,supplier_category_name,phone,items_supplied,name,accounting_phone,email,payment_method,status,id,created_date,updated_date,created_by_id,created_by,is_sample
"","","6910b7933fa44f7d818a40d1","[]","daily","","לחם ובצקים","","[]","המוציא לחם חדש רמי","","","Check","active","69a04066646fa3cff36cbf96","2026-02-26T12:45:26.328000","2026-02-26T12:45:26.328000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","ישראל","6910b7933fa44f7d818a40d3","[]","weekly","","בשר ועוף","","[]","ישראל פלדמן בע""מ","","","Check","active","699ed98496b7333033b6725b","2026-02-25T11:14:12.192000","2026-02-25T11:14:12.192000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","הזמנות שוקי","6910b7933fa44f7d818a40d1","[]","weekly","שוטף +30","לחם ובצקים","0545696152","[]","פסטה דלה קאזה","","","Check","active","6997359d1e20b811f6c5fb54","2026-02-19T16:09:01.854000","2026-02-19T16:09:01.854000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","איש קשר","","[]","","","","0000000000","[]","רדי פיין מיט","","","","active","69833e5c900e1c2dac5ce157","2026-02-04T12:41:00.421000","2026-02-04T12:41:00.421000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","","","[]","","","","","[]","סרחיו","","","","active","694d41d5fb8f4e1c8badaafc","2025-12-25T13:53:25.382000","2025-12-25T13:53:25.382000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","אורלי","6928451607d1a1462c49b6e4","[]","","שוטף 30","dry products","⁦+972 50-871-0083","[]","טרז פזוס בע״מ","","orly@trespesos.co.il","Check","active","692d68a25d40da7affa487b7","2025-12-01T10:06:26.600000","2025-12-01T10:06:26.600000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","אלירז","6928451607d1a1462c49b6e4","[]","","שוטף 45","dry products","‪+972 52‑940‑0398‬","[]","ימה וקדמה י.א בע״מ","","office@yamavakedma.co.il","Check","active","692d68051f5aa71afd7c3352","2025-12-01T10:03:49.006000","2025-12-01T10:03:49.006000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","שי","6910b7933fa44f7d818a40d3","[]","","","Meat and Chicken","⁦+972 52-268-7458","[]","שי סלמה - שיווק בשר ","","","","active","692d679a3d365480e20d4c2a","2025-12-01T10:02:02.632000","2025-12-01T10:02:02.632000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","דימה","692d5cc1fc803658336e30e2","[]","","שוטף 30","beverage","⁦+972 54-262-1523","[]","הכרם משקאות חריפים בע״מ","","Yovel.m@hacarem.com","Check","active","692d60fbed7bb66d54a8bc75","2025-12-01T09:33:47.346000","2025-12-01T09:33:47.346000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","אופיר קדם ","692d5cc1fc803658336e30e2","[]","","שוטף 45","beverage","⁦+972 54-670-0841","[]","היכל היין שקד גולן בע״מ","","liann@hwine.co.il","Check","active","692d5f1787be925cf11ed08d","2025-12-01T09:25:43.192000","2025-12-01T09:25:43.192000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","גלעד","692d5cc1fc803658336e30e2","[]","","שוטף 30 ","beverage","⁦+972 54-900-7452","[]","החברה המרכזית להפצה משקאות בע״מ","","","Check","active","692d5d035d40da7affa47b13","2025-12-01T09:16:51.262000","2025-12-01T09:26:19.330000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","אירית","6910b7933fa44f7d818a40d2","[]","","שוטף 30","Fruits and Vegetables","‪+972 54‑701‑8018‬","[]","פרי הבוסתן בע״מ","","aapple@aapple.co.il","Check","active","692d5c3fdc38c70946eb610a","2025-12-01T09:13:35.070000","2025-12-01T09:13:35.070000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","אירית","6910b7933fa44f7d818a40d2","[]","","שוטף 30","Fruits and Vegetables","‪+972 54‑701‑8018‬","[]","פלחפוח בע״מ","","aapple@aapple.co.il","Check","active","692d5be3c5e9a474e3000b06","2025-12-01T09:12:03.116000","2025-12-01T09:12:03.116000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","ארנון","692d5cc1fc803658336e30e2","[]","","שוטף 30","beverage","⁦+972 54-428-1153","[]","סנילביץ שרה יין","","tomer@sanilevich.com","Check","active","692d5ae898191ea11b9a8d59","2025-12-01T09:07:52.335000","2025-12-01T09:17:07.105000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","עמוס","692d5878a6ce26a94248c910","[]","","שוטף 60","clean","⁦+972 52-662-4050","[]","סיוון יצור ושיווק חומרי ניקוי בע״מ","","sivanhan@walla.com","Check","active","692d59ad08e858793ddb3e51","2025-12-01T09:02:37.416000","2025-12-01T09:02:37.416000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","אורי","692d5878a6ce26a94248c910","[]","","שוטף 45","clean","⁦+972 50-855-7037","[]","המבריק המקורי בע״מ","⁦+972 52-864-1289","office@hamavrik.co.il","Check","active","692d5907dd752e4dd8fb5b0a","2025-12-01T08:59:51.737000","2025-12-01T08:59:51.737000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","שלומי","","[]","","העברות","","⁦+972 50-780-1010","[]","דיפלומט מפיצים בע״מ","⁦+972 54-565-0080","sapadmin@diplomat.co.il","Bank Transfer","active","692d582a3942954ddf3779f6","2025-12-01T08:56:10.003000","2025-12-01T08:56:10.003000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","ליז ","6910b7933fa44f7d818a40d3","[]","weekly","שוטף 60","Meat and Chicken","⁦+972 50-666-4518","[]","בית הבשר גינדי בע״מ","","lizik@gindimeat.co.il","Check","active","692d5759980a15fa1bbe8f13","2025-12-01T08:52:41.704000","2026-02-25T07:52:39.682000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","שאול","69284dfd147a9cd136ba9c05","[]","","מזומן","conditoria","⁦+972 54-422-0847","[]","השוקולד הבלגי שלי בע״מ","","","Cash","active","6928528dd0e2f6ec34f5245b","2025-11-27T13:30:53.078000","2025-11-27T13:30:53.078000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","דודי","6910b7933fa44f7d818a40d3","[]","","שוטף 30","Meat and Chicken","05420053","[]","חמישה קצבים בע״מ","⁦+972 53-315-2039","account1@5katzavim.co.il","Check","active","69284f796554eb682830c1d2","2025-11-27T13:17:45.966000","2025-11-27T13:17:45.966000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","קארין","69284dfd147a9cd136ba9c05","[]","","העברות","conditoria","⁦+972 52-885-5117","[]","אלמנדוס בע״מ","","karin@almandos.co.il","Bank Transfer","active","69284e2ac0b41d128460bbf9","2025-11-27T13:12:10.232000","2025-11-27T13:12:10.232000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","יוסי כהן","6910b7933fa44f7d818a40d3","[]","weekly","שוטף 60","Meat and Chicken","0502956660","[]","יוסי כהן קצבים","‪+972 50‑747‑3795‬","","Check","active","69284ab562024349af1a7aa4","2025-11-27T12:57:25.090000","2026-02-25T07:52:21.780000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","יגאל","6910b7933fa44f7d818a40d3","[]","weekly","העברות","Meat and Chicken","0506664522","[]","אודי גינדי בשרים","⁦+972 50-579-0227","udigindi99@walla.co.il","Bank Transfer","active","69284928d49a1b0577b04fe5","2025-11-27T12:50:48.731000","2026-02-25T07:52:45.625000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","עומר","6928451607d1a1462c49b6e4","[]","","העברות","dry products","⁦+972 54-996-9091","[]","רסטרטו יבוא ושיווק בע״מ","","talo@ristretto.co.il","Bank Transfer","active","692846e018d05a7e09b99944","2025-11-27T12:41:04.101000","2025-11-27T12:41:37.235000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","דנה ","6910b7933fa44f7d818a40d1","[]","","העברות","Bread and Dough","0506569358","[]","אוהד המוציא לחם בע״מ","","henattia@gmail.com","","active","692843d470c10db0a903aa93","2025-11-27T12:28:04.846000","2025-11-27T12:28:04.846000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","","6928451607d1a1462c49b6e4","[]","","שוטף 60 ","dry products","0774090420","[]","כרם תדהר בע״מ","","office@ktidhar.co.il","Check","active","692840dee5ad9a7df989fa88","2025-11-27T12:15:26.600000","2025-11-27T12:36:38","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","","","[]","","שוטף 60","","0547701724","[]","איש האנשים נדב כהן","","peopleman545@gmail.com","","active","69283d70188f5c7f63a4009f","2025-11-27T12:00:48.486000","2025-11-27T12:00:48.486000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","","6910b7933fa44f7d818a40d1","[]","","שוטף 45","Bread and Dough","","[]","א.סיימן סחר בע״מ","⁦+972 50-222-5173","","","active","6928383eba0b0a57af83d3f5","2025-11-27T11:38:38.736000","2025-11-27T12:29:26.504000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","סיגל","6910b7933fa44f7d818a40d3","[]","weekly","העברות","Meat and Chicken","⁦+972 53-833-1236","[]","לויתן סחר ומוצרים חקלאיים בע״מ","046321408","office@eytanmeat.com","","active","69282e7ac61d9c6cd249ddd8","2025-11-27T10:56:58.974000","2026-02-25T07:52:13.998000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","תומר","","[]","","שוטף 30","","⁦+972 54-896-6423","[]","טמפו שיווק בע״מ ","","jobrun@tempo.co.il","","active","69282d3f236a3dd2212af7fa","2025-11-27T10:51:43.193000","2025-11-27T10:51:43.193000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","מיטל","6910b7933fa44f7d818a40d1","[]","","שוטף 45","Bread and Dough","‪+972 58‑477‑7354‬","[]","דורו איטליאן פרודקטס בע״מ (פסטריקו)","036225540","acc@pastaricco.com","","active","692828f9e7910c9bd52b4f31","2025-11-27T10:33:29.287000","2025-11-27T10:33:29.287000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","אביחי","","[]","weekly","","","+972 50-574-3000","[]","ח.י מזל טלה בע״מ","","","","active","692822e25fcc91492c129322","2025-11-27T10:07:30.958000","2026-02-25T07:52:32.295000","6922d81df8b88df1983e2577","info@raytlv.co.il","false"
"","הדס חבשוש","6928451607d1a1462c49b6e4","[]","","העברות","dry products","0544942100","[]","חבשוש אריה עסקי מזון בע״מ","+972 54-778-7955","hadas@ofek-eng.co.il","","active","6914a8acbd838a91b37e62ae","2025-11-12T15:33:00.016000","2025-11-27T12:34:27.048000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"","מיכאל","6928451607d1a1462c49b6e4","[]","","שוטף 30","dry products","⁦+972 52-828-9571","[]","מיסטר אג ייצור ושיווק ביצים בע״מ","⁦+972 50-595-0653","","Check","active","6914a8a6db635e45b855358b","2025-11-12T15:32:54.950000","2025-12-23T14:34:41.475000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"","","6910b7933fa44f7d818a40d2","[]","","","Fruits and Vegetables","","[]","יעקב חוגי","0505334647","","","active","6914a887db635e45b8553568","2025-11-12T15:32:23.377000","2025-11-27T10:12:11.686000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"","לימור","6910b7933fa44f7d818a40d1","[]","weekly","העברות","Bread and Dough","⁦+972 52-266-9191","[]","רולדין בע״מ","⁦+972 52-266-9191","hilas@roladin.co.il","Bank Transfer","active","6914a86a5d45fd0b830d3af4","2025-11-12T15:31:54.793000","2026-02-18T14:54:22.156000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"","גדעון","6910b7933fa44f7d818a40d2","[]","","שוטף 45","Fruits and Vegetables","0522745574","[]"," עלה עלה בע״מ","098876003","office@aleh-aleh.com","Check","active","6914a85fef1ba9cf97084972","2025-11-12T15:31:43.847000","2025-11-27T12:34:13.209000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"","שמעון","6910b7933fa44f7d818a40d4","[]","","","Fish and Seafood","","[]","קנה דג מרקט בע״מ","0528880187","","","active","6913675c4f341c951d0ada7f","2025-11-11T16:42:04.678000","2025-11-27T10:13:26.825000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
"","אופיר","6928451607d1a1462c49b6e4","[]","weekly","שוטף 60","dry products","039566667","[]","י. שבי שיווק מזון בע״מ","","office@y-shabi.co.il","Check","active","691366fcbb19887994250dac","2025-11-11T16:40:28.474000","2026-02-18T14:48:18.951000","69104fba960f8b25c61d5a0c","gilh207@gmail.com","false"
